name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"CopyBench<shm::memory::DefaultCopier>/32_mean",20,5.978,5.97336,ns,5.4933e+09,,,,
"CopyBench<shm::memory::DefaultCopier>/32_median",20,5.62103,5.62098,ns,5.69334e+09,,,,
"CopyBench<shm::memory::DefaultCopier>/32_stddev",20,1.0334,1.02523,ns,8.4215e+08,,,,
"CopyBench<shm::memory::DefaultCopier>/64_mean",20,6.04956,6.03345,ns,1.09524e+10,,,,
"CopyBench<shm::memory::DefaultCopier>/64_median",20,5.41548,5.41544,ns,1.18181e+10,,,,
"CopyBench<shm::memory::DefaultCopier>/64_stddev",20,1.21739,1.18496,ns,1.86637e+09,,,,
"CopyBench<shm::memory::DefaultCopier>/512_mean",20,14.2488,14.2471,ns,3.60892e+10,,,,
"CopyBench<shm::memory::DefaultCopier>/512_median",20,14.3206,14.3076,ns,3.57887e+10,,,,
"CopyBench<shm::memory::DefaultCopier>/512_stddev",20,0.943309,0.943368,ns,2.4207e+09,,,,
"CopyBench<shm::memory::DefaultCopier>/4096_mean",20,71.507,71.5026,ns,5.75785e+10,,,,
"CopyBench<shm::memory::DefaultCopier>/4096_median",20,69.8934,69.88,ns,5.86174e+10,,,,
"CopyBench<shm::memory::DefaultCopier>/4096_stddev",20,5.30533,5.30327,ns,4.18273e+09,,,,
"CopyBench<shm::memory::DefaultCopier>/32768_mean",20,1384.21,1382.47,ns,2.42864e+10,,,,
"CopyBench<shm::memory::DefaultCopier>/32768_median",20,1342.15,1342.14,ns,2.44169e+10,,,,
"CopyBench<shm::memory::DefaultCopier>/32768_stddev",20,229.681,227.928,ns,3.76444e+09,,,,
"CopyBench<shm::memory::DefaultCopier>/262144_mean",20,12232.7,12232.3,ns,2.14599e+10,,,,
"CopyBench<shm::memory::DefaultCopier>/262144_median",20,12332.9,12332.6,ns,2.12562e+10,,,,
"CopyBench<shm::memory::DefaultCopier>/262144_stddev",20,462.274,462.32,ns,8.22415e+08,,,,
"CopyBench<shm::memory::DefaultCopier>/2097152_mean",20,235004,234979,ns,8.93712e+09,,,,
"CopyBench<shm::memory::DefaultCopier>/2097152_median",20,234228,234207,ns,8.95441e+09,,,,
"CopyBench<shm::memory::DefaultCopier>/2097152_stddev",20,9021.48,9004.04,ns,3.37933e+08,,,,
"CopyBench<shm::memory::DefaultCopier>/8388608_mean",20,811582,811537,ns,1.03426e+10,,,,
"CopyBench<shm::memory::DefaultCopier>/8388608_median",20,809344,809315,ns,1.03651e+10,,,,
"CopyBench<shm::memory::DefaultCopier>/8388608_stddev",20,20105.6,20055.1,ns,2.53792e+08,,,,
"CopyBench<shm::memory::dragons::RepMovsbCopier>/32_mean",20,12.0513,12.0509,ns,2.65774e+09,,,,
"CopyBench<shm::memory::dragons::RepMovsbCopier>/32_median",20,12.0401,12.0399,ns,2.65784e+09,,,,
"CopyBench<shm::memory::dragons::RepMovsbCopier>/32_stddev",20,0.373268,0.373263,ns,7.96666e+07,,,,
"CopyBench<shm::memory::dragons::RepMovsbCopier>/64_mean",20,11.895,11.8941,ns,5.38294e+09,,,,
"CopyBench<shm::memory::dragons::RepMovsbCopier>/64_median",20,11.9425,11.9422,ns,5.35915e+09,,,,
"CopyBench<shm::memory::dragons::RepMovsbCopier>/64_stddev",20,0.242524,0.242404,ns,1.10641e+08,,,,
"CopyBench<shm::memory::dragons::RepMovsbCopier>/512_mean",20,20.9416,20.9412,ns,2.44644e+10,,,,
"CopyBench<shm::memory::dragons::RepMovsbCopier>/512_median",20,21.0366,21.0363,ns,2.43391e+10,,,,
"CopyBench<shm::memory::dragons::RepMovsbCopier>/512_stddev",20,0.537763,0.537693,ns,6.17875e+08,,,,
"CopyBench<shm::memory::dragons::RepMovsbCopier>/4096_mean",20,90.0384,90.037,ns,4.64767e+10,,,,
"CopyBench<shm::memory::dragons::RepMovsbCopier>/4096_median",20,94.4185,94.4176,ns,4.33817e+10,,,,
"CopyBench<shm::memory::dragons::RepMovsbCopier>/4096_stddev",20,13.286,13.2858,ns,7.05625e+09,,,,
"CopyBench<shm::memory::dragons::RepMovsbCopier>/32768_mean",20,1233.34,1233.31,ns,2.66743e+10,,,,
"CopyBench<shm::memory::dragons::RepMovsbCopier>/32768_median",20,1249.28,1249.26,ns,2.62298e+10,,,,
"CopyBench<shm::memory::dragons::RepMovsbCopier>/32768_stddev",20,79.1525,79.1556,ns,1.72762e+09,,,,
"CopyBench<shm::memory::dragons::RepMovsbCopier>/262144_mean",20,12934,12933.7,ns,2.02767e+10,,,,
"CopyBench<shm::memory::dragons::RepMovsbCopier>/262144_median",20,12962.3,12961.9,ns,2.02243e+10,,,,
"CopyBench<shm::memory::dragons::RepMovsbCopier>/262144_stddev",20,269.438,269.46,ns,4.21453e+08,,,,
"CopyBench<shm::memory::dragons::RepMovsbCopier>/2097152_mean",20,234649,234645,ns,8.94941e+09,,,,
"CopyBench<shm::memory::dragons::RepMovsbCopier>/2097152_median",20,237218,237209,ns,8.84114e+09,,,,
"CopyBench<shm::memory::dragons::RepMovsbCopier>/2097152_stddev",20,8670.3,8670.3,ns,3.37712e+08,,,,
"CopyBench<shm::memory::dragons::RepMovsbCopier>/8388608_mean",20,1.23249e+06,1.23246e+06,ns,6.83854e+09,,,,
"CopyBench<shm::memory::dragons::RepMovsbCopier>/8388608_median",20,1.28039e+06,1.28036e+06,ns,6.55178e+09,,,,
"CopyBench<shm::memory::dragons::RepMovsbCopier>/8388608_stddev",20,85799,85794.5,ns,4.86195e+08,,,,
"CopyBench<shm::memory::dragons::AvxCopier>/32_mean",20,2.25203,2.25199,ns,1.42241e+10,,,,
"CopyBench<shm::memory::dragons::AvxCopier>/32_median",20,2.23575,2.23571,ns,1.43131e+10,,,,
"CopyBench<shm::memory::dragons::AvxCopier>/32_stddev",20,0.0752608,0.0752652,ns,4.54275e+08,,,,
"CopyBench<shm::memory::dragons::AvxCopier>/64_mean",20,3.84337,3.84329,ns,1.6657e+10,,,,
"CopyBench<shm::memory::dragons::AvxCopier>/64_median",20,3.84584,3.84574,ns,1.66418e+10,,,,
"CopyBench<shm::memory::dragons::AvxCopier>/64_stddev",20,0.0660951,0.066099,ns,2.84859e+08,,,,
"CopyBench<shm::memory::dragons::AvxCopier>/512_mean",20,7.47958,7.47904,ns,6.86903e+10,,,,
"CopyBench<shm::memory::dragons::AvxCopier>/512_median",20,7.42495,7.42481,ns,6.8958e+10,,,,
"CopyBench<shm::memory::dragons::AvxCopier>/512_stddev",20,0.487267,0.487182,ns,3.77152e+09,,,,
"CopyBench<shm::memory::dragons::AvxCopier>/4096_mean",20,66.4105,66.4093,ns,6.17106e+10,,,,
"CopyBench<shm::memory::dragons::AvxCopier>/4096_median",20,66.2083,66.2072,ns,6.18664e+10,,,,
"CopyBench<shm::memory::dragons::AvxCopier>/4096_stddev",20,1.56138,1.56114,ns,1.45666e+09,,,,
"CopyBench<shm::memory::dragons::AvxCopier>/32768_mean",20,1125.51,1125.5,ns,2.91292e+10,,,,
"CopyBench<shm::memory::dragons::AvxCopier>/32768_median",20,1119.75,1119.74,ns,2.9264e+10,,,,
"CopyBench<shm::memory::dragons::AvxCopier>/32768_stddev",20,26.209,26.2091,ns,6.76544e+08,,,,
"CopyBench<shm::memory::dragons::AvxCopier>/262144_mean",20,16002.1,15978.9,ns,1.65291e+10,,,,
"CopyBench<shm::memory::dragons::AvxCopier>/262144_median",20,15409.8,15315,ns,1.71192e+10,,,,
"CopyBench<shm::memory::dragons::AvxCopier>/262144_stddev",20,1457.59,1460.13,ns,1.42431e+09,,,,
"CopyBench<shm::memory::dragons::AvxCopier>/2097152_mean",20,232817,232804,ns,9.01551e+09,,,,
"CopyBench<shm::memory::dragons::AvxCopier>/2097152_median",20,232861,232859,ns,9.0062e+09,,,,
"CopyBench<shm::memory::dragons::AvxCopier>/2097152_stddev",20,6827.08,6813.74,ns,2.61607e+08,,,,
"CopyBench<shm::memory::dragons::AvxCopier>/8388608_mean",20,1.19818e+06,1.19815e+06,ns,7.00309e+09,,,,
"CopyBench<shm::memory::dragons::AvxCopier>/8388608_median",20,1.19407e+06,1.19406e+06,ns,7.0253e+09,,,,
"CopyBench<shm::memory::dragons::AvxCopier>/8388608_stddev",20,19892.5,19890.7,ns,1.14068e+08,,,,
"CopyBench<shm::memory::dragons::AvxAsyncCopier>/32_mean",20,48.3494,48.3489,ns,6.62001e+08,,,,
"CopyBench<shm::memory::dragons::AvxAsyncCopier>/32_median",20,48.526,48.5257,ns,6.59444e+08,,,,
"CopyBench<shm::memory::dragons::AvxAsyncCopier>/32_stddev",20,0.731163,0.731247,ns,1.01095e+07,,,,
"CopyBench<shm::memory::dragons::AvxAsyncCopier>/64_mean",20,51.0559,51.0555,ns,1.25506e+09,,,,
"CopyBench<shm::memory::dragons::AvxAsyncCopier>/64_median",20,51.5784,51.5781,ns,1.24084e+09,,,,
"CopyBench<shm::memory::dragons::AvxAsyncCopier>/64_stddev",20,1.80399,1.80399,ns,4.53437e+07,,,,
"CopyBench<shm::memory::dragons::AvxAsyncCopier>/512_mean",20,65.1716,65.1711,ns,7.86232e+09,,,,
"CopyBench<shm::memory::dragons::AvxAsyncCopier>/512_median",20,64.5526,64.5522,ns,7.93157e+09,,,,
"CopyBench<shm::memory::dragons::AvxAsyncCopier>/512_stddev",20,1.86469,1.86472,ns,2.23438e+08,,,,
"CopyBench<shm::memory::dragons::AvxAsyncCopier>/4096_mean",20,183.608,183.606,ns,2.23126e+10,,,,
"CopyBench<shm::memory::dragons::AvxAsyncCopier>/4096_median",20,184.053,184.051,ns,2.22548e+10,,,,
