name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"CopyBench<shm::memory::DefaultCopier>/32_mean",20,2.31929,2.31903,ns,1.38034e+10,,,,
"CopyBench<shm::memory::DefaultCopier>/32_median",20,2.33265,2.33242,ns,1.37196e+10,,,,
"CopyBench<shm::memory::DefaultCopier>/32_stddev",20,0.0420353,0.042044,ns,2.63715e+08,,,,
"CopyBench<shm::memory::DefaultCopier>/64_mean",20,2.33029,2.33004,ns,2.7468e+10,,,,
"CopyBench<shm::memory::DefaultCopier>/64_median",20,2.3337,2.33346,ns,2.74271e+10,,,,
"CopyBench<shm::memory::DefaultCopier>/64_stddev",20,0.0111101,0.0111158,ns,1.32538e+08,,,,
"CopyBench<shm::memory::DefaultCopier>/512_mean",20,8.41521,8.41327,ns,6.08998e+10,,,,
"CopyBench<shm::memory::DefaultCopier>/512_median",20,8.56226,8.56054,ns,5.98096e+10,,,,
"CopyBench<shm::memory::DefaultCopier>/512_stddev",20,0.230037,0.230084,ns,1.67499e+09,,,,
"CopyBench<shm::memory::DefaultCopier>/4096_mean",20,59.7234,59.7099,ns,6.85991e+10,,,,
"CopyBench<shm::memory::DefaultCopier>/4096_median",20,59.7897,59.7723,ns,6.85267e+10,,,,
"CopyBench<shm::memory::DefaultCopier>/4096_stddev",20,0.203839,0.199596,ns,2.30508e+08,,,,
"CopyBench<shm::memory::DefaultCopier>/32768_mean",20,545.167,545.08,ns,6.01162e+10,,,,
"CopyBench<shm::memory::DefaultCopier>/32768_median",20,545.478,545.357,ns,6.00854e+10,,,,
"CopyBench<shm::memory::DefaultCopier>/32768_stddev",20,1.30789,1.26674,ns,1.39816e+08,,,,
"CopyBench<shm::memory::DefaultCopier>/262144_mean",20,4652.24,4651.48,ns,5.63612e+10,,,,
"CopyBench<shm::memory::DefaultCopier>/262144_median",20,4641,4640.52,ns,5.64902e+10,,,,
"CopyBench<shm::memory::DefaultCopier>/262144_stddev",20,40.1373,40.3064,ns,4.8446e+08,,,,
"CopyBench<shm::memory::DefaultCopier>/2097152_mean",20,110744,110735,ns,1.89385e+10,,,,
"CopyBench<shm::memory::DefaultCopier>/2097152_median",20,110813,110807,ns,1.89262e+10,,,,
"CopyBench<shm::memory::DefaultCopier>/2097152_stddev",20,313.68,312.249,ns,5.3536e+07,,,,
"CopyBench<shm::memory::DefaultCopier>/16777216_mean",20,1.05616e+06,1.05578e+06,ns,1.58921e+10,,,,
"CopyBench<shm::memory::DefaultCopier>/16777216_median",20,1.05832e+06,1.05794e+06,ns,1.58584e+10,,,,
"CopyBench<shm::memory::DefaultCopier>/16777216_stddev",20,9721.52,9714.3,ns,1.46521e+08,,,,
"CopyBench<shm::memory::DefaultCopier>/67108864_mean",20,5.37116e+06,5.36789e+06,ns,1.25025e+10,,,,
"CopyBench<shm::memory::DefaultCopier>/67108864_median",20,5.38881e+06,5.38573e+06,ns,1.24605e+10,,,,
"CopyBench<shm::memory::DefaultCopier>/67108864_stddev",20,38172.5,38364.1,ns,8.94413e+07,,,,
"CopyBench<shm::memory::dragons::RepMovsbCopier>/32_mean",20,12.6341,12.633,ns,2.53305e+09,,,,
"CopyBench<shm::memory::dragons::RepMovsbCopier>/32_median",20,12.6346,12.6335,ns,2.53294e+09,,,,
"CopyBench<shm::memory::dragons::RepMovsbCopier>/32_stddev",20,0.0256509,0.0253811,ns,5.08627e+06,,,,
"CopyBench<shm::memory::dragons::RepMovsbCopier>/64_mean",20,14.2739,14.2704,ns,4.4849e+09,,,,
